Índice	Link	Data	Título	Primeiro Parágrafo	Temática	Região	Estado	Município
1	https://operacaocovid19.defesa.gov.br/noticias/noticia/740	21/03/2020	Militares da Marinha atuam na retirada de passageiros de navio de cruzeiro em Recife	Como parte da Operação Covid-19 do Ministério da Defesa, a Marinha atuou, neste sábado (21), na retirada de passageiros de um navio de cruzeiro retido em Recife (PE), desde que um passageiro foi atestado com Covid-19. Militares especializados em Defesa Biológica, Nuclear, Química e Radiológica (DBNQR) foram empregados na missão.	Apoio Logístico	Nordeste	PE	Recife
335	https://operacaocovid19.defesa.gov.br/noticias/noticia/1076	01/05/2020	Comando do 9º Distrito Naval realiza descontaminação na Fundação Centro de Controle de Oncologia, no Amazonas	A Equipe de Resposta Nuclear, Biológica, Química e Radiológica (EqRspNBQR), conduzida pelo 1º Batalhão de Operações Ribeirinhas, subordinado ao Comando do 9º Distrito Naval (Com9ºDN), realizou, no dia 29 de abril, a descontaminação das dependências da Fundação Centro de Controle de Oncologia do Estado do Amazonas (FCECON), em Manaus-AM.	Higienização		Norte	AM	Manaus
335	https://operacaocovid19.defesa.gov.br/noticias/noticia/1074	02/05/2020	FAB transporta para Manaus 452 mil EPIs doados pela Fundação Itaú	Para ajudar o estado do Amazonas (AM) no enfrentamento ao coronavírus, dois KC-390 Millenium, da Força Aérea Brasileira (FAB) transportaram hoje (02) cerca de 452 mil Equipamentos de Proteção Individual (EPI’s) para Manaus.	Apoio de Saúde		Centro-Oeste	DF	Brasília
335	https://operacaocovid19.defesa.gov.br/noticias/noticia/1077	30/04/2020	TRANSPORTE E ENTREGA DE CESTAS BÁSICAS	No dia 29 de abril, o 2º Regimento de Cavalaria Mecanizado (2° RC Mec) apoiou a 35ª Coordenadoria Regional de Educação (35ª CRE) no transporte e entrega de cestas básicas a escolas estaduais do município.	Alimentação		Sul	RS	São Borja
339	https://operacaocovid19.defesa.gov.br/noticias/noticia/1078	03/05/2020	Bandas militares levam alegria e espalham esperança com música	A música está ligada às ações militares, não só como meio de comunicação, mas também como elemento psicológico, levando ânimo às tropas e atemorizando o inimigo. Durante a movimentação de guerra, os grupos de soldados eram facilmente identificados com suas cores e bandeiras, mas em meio ao fogo da batalha, a obscuridade impossibilitava reconhecê-los. Com isso, a música marcial era o que distinguia o amigo do inimigo.	Apoio de Saúde				Jaboatão dos Guararapes
340	https://operacaocovid19.defesa.gov.br/noticias/noticia/1079	05/05/2020	Fuzileiros Navais do Rio Grande realizam entrega de cestas básicas para escolas estaduais	O Comando do 5º Distrito Naval, por meio do Grupamento de Fuzileiros Navais do Rio Grande (GptFNRG), realizou, no dia 30 de abril, a entrega de 1.801 cestas básicas em dez escolas estaduais do município. A solicitação da Secretaria de Educação do Estado do Rio Grande do Sul incluiu também a entrega em quatro escolas na cidade de São José do Norte.	Alimentação		Sul	RS	Rio Grande
341	https://operacaocovid19.defesa.gov.br/noticias/noticia/1080	30/04/2020	DISTRIBUIÇÃO DE CESTAS BÁSICAS NO GRANDE RECIFE	No período de 23 a 28 de abril, o 10º Esquadrão de Cavalaria Mecanizado (10° Esqd C Mec), em cumprimento às missões do Comando Conjunto Nordeste na Operação COVID-19, realizou a distribuição de 4.710 cestas básicas, doadas por empresários do estado de Pernambuco.	Alimentação		Nordeste	PE	Recife
342	https://operacaocovid19.defesa.gov.br/noticias/noticia/1081	01/05/2020	Comando Conjunto RN e PB entrega kits de alimentação para famílias de Macaíba-RN beneficiadas pelo Profesp	O Comando Conjunto Rio Grande do Norte e Paraíba realizou, no dia 28 de abril, a entrega de 130 kits de alimentação para famílias, residentes em Macaíba-RN, beneficiadas pelo Programa Forças no Esporte (Profesp), no núcleo da Estação Radiogoniométrica da Marinha em Natal (ERMN).	Alimentação		Norte	RN	Macaíba
343	https://operacaocovid19.defesa.gov.br/noticias/noticia/1082	04/05/2020	Hospitais militares treinam profissionais da saúde que tratam de paciente da COVID-19	A partir de 5 de maio, profissionais de saúde que atuam em emergências clínicas e cuidados intensivos dos pacientes acometidos pela COVID-19 serão treinados por especialistas dos hospitais das Forças Armadas. A iniciativa é do Ministério da Defesa, por meio da Secretaria de Pessoal, Ensino, Saúde e Desportos (SEPESD), que, em virtude da pandemia da COVID-19, avaliou a necessidade de multiplicar conhecimentos entre o seu corpo de funcionários.	Apoio de Saúde		Centro-Oeste	DF	Brasília
344	https://operacaocovid19.defesa.gov.br/noticias/noticia/1083	04/05/2020	DESINFECÇÃO DO HOSPITAL REGIONAL DE MATO GROSSO DO SUL E TRANSPORTE DE CESTAS BÁSICAS	Prosseguindo com as atividades do combate ao coronavírus, o 18º Batalhão de Transporte (18° B Trnp), na noite do dia 28 de abril, participou com uma equipe, da desinfecção das instalações do Posto de Atendimento Médico do Hospital Regional de Mato Grosso do Sul. A desinfecção foi coordenada pelo Comando Conjunto Oeste, no contexto da Operação COVID-19.	Higienização		Centro-Oeste	MS	Campo Grande
345	https://operacaocovid19.defesa.gov.br/noticias/noticia/1084	04/05/2020	KC-390 Millennium realiza Transporte Aéreo Logístico nesta segunda-feira	A Força Aérea Brasileira (FAB) realizou, nesta segunda-feira (04/05), mais uma missão de Transporte Aéreo Logístico em apoio à Operação COVID-19. A aeronave KC-390 Millennium, pertencente ao Primeiro Grupo de Transporte de Tropa (1º GTT) – Esquadrão Zeus, sediado na Ala 2 – Base Aérea de Anápolis (GO), transportou 8.400 unidades de álcool em gel de Guarulhos (SP) para Manaus (AM). A missão foi coordenada pelo Comando de Operações Aeroespaciais (COMAE) junto ao Centro de Operações Conjuntas (COC) do Ministério da Defesa, em apoio ao Ministério da Saúde	Apoio Logístico		Norte	AM	Manaus
346	https://operacaocovid19.defesa.gov.br/noticias/noticia/1085	04/05/2020	O EMPREGO DE TROPAS DE DEFESA QUÍMICA, BIOLÓGICA, RADIOLÓGICA E NUCLEAR NA OPERAÇÃO COVID-19	A Portaria Nº 1.232 do Ministério da Defesa, de 18 de março de 2020, aprovou o emprego dos meios de Defesa Química, Biológica, Radiológica e Nuclear (DQBRN) das Forças Armadas na Operação COVID-19. Assim, o Ministério da Defesa, por intermédio do seu Estado-Maior Conjunto das Forças Armadas (EMCFA), passou a coordenar os meios DQBRN na descontaminação de espaços públicos, meios de transporte e materiais, entre outros.	Apoio de Saúde		Centro-Oeste	DF	Brasília
347	https://operacaocovid19.defesa.gov.br/noticias/noticia/1086	04/05/2020	Forças Armadas: a missão continua no combate ao novo coronavírus	As ações por todo o Brasil de enfrentamento à COVID-19 não param. O Comando Conjunto Amazônia, por intermédio da Força Aérea Brasileira (FAB), transportou, a bordo de um C-130 Hércules, duas toneladas de materiais de saúde, de São Paulo (SP) para Macapá (AP), dentre eles: máscaras, aventais, respiradores e testes rápidos. Uma outra aeronave, KC-390 Millennium, decolou também de Guarulhos transportando 8,4 mil unidades de álcool em gel com destino a Manaus (AM).	Apoio Logístico		Norte	AP	Macapá
348	https://operacaocovid19.defesa.gov.br/noticias/noticia/1087	04/05/2020	NO ACRE COMANDO DE FRONTEIRA JURUÁ / 61° BATALHÃO DE INFANTARIA DE SELVA REALIZA DOAÇÃO DE CESTAS BÁSICAS	O Programa Forças no Esporte (PROFESP), do Comando de Fronteira Juruá / 61° Batalhão de Infantaria de Selva distribuiu “kits” de alimentação para as famílias das crianças e dos jovens atendidos pelo programa.	Alimentação		Norte	AC	Cruzeiro do Sul
349	https://operacaocovid19.defesa.gov.br/noticias/noticia/1088	04/05/2020	FAB monta estrutura para produção e distribuição de refeições para caminhoneiros	Em mais uma ação da Operação COVID-19, a Força Aérea Brasileira (FAB) realiza, a partir desta segunda-feira (04/05), a produção e distribuição de refeições para caminhoneiros que trafegam pela SP-055, em local próximo ao Porto de Santos, no litoral paulista. Estima-se que serão distribuídas até 800 unidades por dia, em dois períodos: das 12 às 13 horas, e das 18 às 19 horas.	Alimentação		Sudeste	SP	Santos
350	https://operacaocovid19.defesa.gov.br/noticias/noticia/1089	04/05/2020	MILITARES DE GRUPO DE ARTILHARIA DE CAMPANHA PROMOVEM AÇÃO DE DESINFECÇÃO DA UPA DE NIOAQUE (MS)	Na manhã do dia 1º de maio, o 9º Grupo de Artilharia de Campanha (9º GAC), Grupo Major Cantuária, realizou a desinfecção da Unidade de Pronto Atendimento (UPA) da cidade de Nioaque (MS). A ação foi realizada pelo Grupamento de Desinfecção do 9º GAC, composto por um grupo de combate, nas áreas externas e internas da UPA e no pátio do entorno da unidade.	Higienização		Centro-Oeste	MS	Nioaque
351	https://operacaocovid19.defesa.gov.br/noticias/noticia/1090	05/05/2020	Transporte de insumos de saúde está entre prioridades no combate à Covid-19	O transporte de insumos de combate ao novo Coronavírus está entre as ações priorizadas pelo Ministério da Defesa, que integra o esforço do Governo Federal de enfrentamento à pandemia provocada pelo vírus. Na segunda-feira (4), um C-130 Hércules da Força Aérea Brasileira (FAB) transportou mais de duas toneladas de materiais de saúde para a capital do Amapá, Macapá.	Apoio Logístico		Norte	AP	Macapá
352	https://operacaocovid19.defesa.gov.br/noticias/noticia/1091	04/05/2020	DESINFECÇÃO DE ÁREAS NO MUNICÍPIO DE DOURADOS (MS)	Dentro do atual contexto e seguindo as diretrizes do Comando Conjunto Oeste de controle da pandemia COVID-19, no período de 24 de abril a 30 de maio, a 4ª Brigada de Cavalaria Mecanizada, Força Terrestre Componente Guaicurus, por intermédio do seu Esquadrão de Comando, realizou a descontaminação das áreas internas e externas do Hospital Universitário, Terminal de Transbordo e da Unidade Básica de Saúde Ramão Vieira, todos no município de Dourados. A medida teve por finalidade realizar a descontaminação de áreas como medida de prevenção e combate	Higienização		Centro-Oeste	MS	Dourados
353	https://operacaocovid19.defesa.gov.br/noticias/noticia/1092	04/05/2020	Comandante da Aeronáutica apresenta à FIESP ações da FAB no combate à COVID-19	O Comandante da Aeronáutica, Tenente-Brigadeiro do Ar Antonio Carlos Moretti Bermudez, participou, na tarde desta segunda-feira (04/05), de uma videoconferência organizada pelo Departamento de Defesa e Segurança (DESEG) da Federação das Indústrias do Estado de São Paulo (FIESP) e pelo Sindicato Nacional das Indústrias de Materiais de Defesa (SIMDE). O objetivo foi apresentar as principais ações da Força Aérea Brasileira (FAB) no enfrentamento ao novo Coronavírus, na Operação COVID-19.	Apoio Logístico				
354	https://operacaocovid19.defesa.gov.br/noticias/noticia/1093	04/05/2020	REUNIÃO COM ENTIDADES DE SAÚDE E ÓRGÃOS DE SEGURANÇA PÚBLICA NO COMBATE AO CORONAVÍRUS	Dentro do atual contexto e seguindo as diretrizes do Comando Conjunto Oeste de controle da pandemia COVID-19, o Comando da 4ª Brigada de Cavalaria Mecanizada, Força Terrestre Componente Guaicurus, realizou, no dia 30 de abril, uma reunião com diversos segmentos do município de Dourados.	Apoio de Saúde		Centro-Oeste	MS	Dourados
355	https://operacaocovid19.defesa.gov.br/noticias/noticia/1094	05/05/2020	Transporte de respiradores em regiões remotas é possibilitado com apoio das Forças Armadas	A parceria do Ministério da Defesa, por meio das três Forças Armadas, com a Confederação Nacional da Indústria (CNI) tem sido fundamental para viabilizar a manutenção de respiradores, equipamentos essenciais no combate à COVID-19, especialmente nas regiões mais remotas do Brasil. A avaliação é do diretor adjunto de Educação e Tecnologia do Serviço Nacional de Aprendizagem Industrial (SENAI), Sérgio Moreira.	Apoio Logístico				
356	https://operacaocovid19.defesa.gov.br/noticias/noticia/1095	04/05/2020	BRIGADA DE CAVALARIA COORDENA DESCONTAMINAÇÃO DE ÁREAS PÚBLICAS NA CIDADE DE SANTIAGO (RS)	No dia 2 de maio, foi realizada uma ação de descontaminação de áreas públicas no centro de Santiago (RS). Sob a coordenação do Esquadrão de Comando da 1ª Brigada de Cavalaria Mecanizada, a atividade contou com a presença das turmas de descontaminação do 19º Grupo de Artilharia de Campanha, do 9º Batalhão Logístico e da 11ª Companhia de Comunicações Mecanizada.	Higienização		Sul	RS	Santiago
357	https://operacaocovid19.defesa.gov.br/noticias/noticia/1096	05/05/2020	Ala 11 inicia distribuição de kits alimentação a integrantes do PROFESP	A Ala 11, sediada no Rio de Janeiro (RJ), iniciou, no dia 1º de maio, a distribuição de kits alimentação para as famílias do Programa Força no Esporte (PROFESP). As crianças e jovens atendidos pelo programa recebem almoço e lanche durante a rotina de atividades diárias, porém com as medidas de prevenção contra o COVID-19, as aulas estão temporariamente suspensas.	Alimentação		Sudeste	RJ	Rio de Janeiro
358	https://operacaocovid19.defesa.gov.br/noticias/noticia/1097	05/05/2020	Logística das Forças Armadas leva alimentos para área de fronteira no Amazonas	Solidariedade faz parte da tradição das Forças Armadas e, neste momento de pandemia mundial, não poderia ser diferente. Na manhã desta terça-feira (5), a aldeia Yanomami de Maturacá, localizada no extremo norte do Estado do Amazonas, recebeu uma tonelada de alimentos. As doações partiram do município de São Gabriel da Cachoeira, no mesmo Estado. O transporte, a bordo de aeronave C-105 Amazonas da Força Aérea Brasileira (FAB), apoiou iniciativa da Federação das Organizações Indígenas do Rio Negro e o Instituto Socioambiental.	Indígena	Yanomámi	Norte	AM	Maturacá
359	https://operacaocovid19.defesa.gov.br/noticias/noticia/1098	05/05/2020	MILITARES ATUAM NA ILHA DO MARAJÓ EM AÇÃO CONTRA A COVID-19	No período de 27 de abril a 1º de maio, as tropas da Força Terrestre Componente (FTC) se deslocaram para os municípios de Soure, Salvaterra e Cachoeira do Arari. Um efetivo do 2° BIS, do 8° DSup, da 15ª Cia PE e do Pq R Mnt/8, composto por 80 militares, atuaram em diversas ações de combate à COVID-19. A ação no Arquipélago contou com a ligação de comando realizada pelo Comandante da FTC, General de Divisão Maurílio Miranda Netto Ribeiro e comitiva.	Apoio de Saúde		Norte	PA	Ilha do Marajó
360	https://operacaocovid19.defesa.gov.br/noticias/noticia/1099	05/05/2020	FAB transporta insumos e materiais hospitalares para Manaus e Macapá	Uma aeronave C-130 Hércules, da Força Aérea Brasileira (FAB), realizou, entre esse domingo (03/05) e segunda-feira (04/05), ação de Transporte Aéreo Logístico em apoio à Operação COVID-19.	Apoio Logístico		Norte	AM	Manaus
361	https://operacaocovid19.defesa.gov.br/noticias/noticia/1100	05/05/2020	Profissionais de saúde recebem treinamento para atender pacientes com Covid-19 em UTIs	Capacitação específica no combate ao coronavírus é indispensável para os profissionais de saúde que atendem pacientes acometidos pela Covid-19. Nesta terça-feira (05), unidades de saúde das Forças Armadas deram início a treinamento voltado para emergências clínicas e cuidados intensivos para médicos, enfermeiros, fisioterapeutas e técnicos de enfermagem.	Apoio de Saúde		Centro-Oeste	DF	Brasília
362	https://operacaocovid19.defesa.gov.br/noticias/noticia/1101	05/05/2020	Marinha realiza desinfecção no Terminal de Turismo Náutico da Bahia, em Salvador	A Equipe de Resposta Nuclear, Biológica, Química e Radiológica, do Comando do 2° Distrito Naval, realizou, em 2 de maio, a desinfecção preventiva no Terminal de Turismo Náutico da Bahia (TTBN), localizado em Salvador-BA. Durante duas horas de operação, a equipe de 20 militares da Marinha do Brasil, em uma ação coordenada pelo Comando Conjunto Bahia, desinfetou as áreas de grande circulação de pessoas do TTBN.	Higienização		Nordeste	BA	Salvador
